"all_riders" "rider_class" "stage" "points" "stage_class"
"Geraint Thomas" "All Rounder" "X10" 4 "hills"
"Geraint Thomas" "All Rounder" "X11" 0 "hills"
"Geraint Thomas" "All Rounder" "X12" 0 "mount"
"Geraint Thomas" "All Rounder" "X14" 8 "mount"
"Geraint Thomas" "All Rounder" "X15" 0 "hills"
"Geraint Thomas" "All Rounder" "X16" 0 "mount"
"Geraint Thomas" "All Rounder" "X17" 0 "flat"
"Geraint Thomas" "All Rounder" "X18" 0 "mount"
"Geraint Thomas" "All Rounder" "X19" 8 "mount"
"Geraint Thomas" "All Rounder" "X20" 0 "hills"
"Geraint Thomas" "All Rounder" "X21" 0 "flat"
"Biniam Girmay" "Sprinter" "X1" 226 "flat"
"Biniam Girmay" "Sprinter" "X2" 12 "hills"
"Biniam Girmay" "Sprinter" "X3" 122 "flat"
"Biniam Girmay" "Sprinter" "X4" 13 "hills"
"Biniam Girmay" "Sprinter" "X6" 16 "hills"
"Biniam Girmay" "Sprinter" "X7" 10 "hills"
"Biniam Girmay" "Sprinter" "X8" 22 "flat"
"Biniam Girmay" "Sprinter" "X9" 124 "flat"
"Biniam Girmay" "Sprinter" "X10" 6 "hills"
"Biniam Girmay" "Sprinter" "X11" 4 "hills"
"Biniam Girmay" "Sprinter" "X12" 4 "mount"
"Biniam Girmay" "Sprinter" "X14" 16 "mount"
"Biniam Girmay" "Sprinter" "X15" 4 "hills"
"Biniam Girmay" "Sprinter" "X16" 6 "mount"
"Biniam Girmay" "Sprinter" "X17" 11 "flat"
"Biniam Girmay" "Sprinter" "X18" 22 "mount"
"Biniam Girmay" "Sprinter" "X19" 22 "mount"
"Biniam Girmay" "Sprinter" "X20" 6 "hills"
"Biniam Girmay" "Sprinter" "X21" 53 "flat"
"Thibau Nys" "Unclassed" "X1" 0 "flat"
"Thibau Nys" "Unclassed" "X2" 0 "hills"
"Thibau Nys" "Unclassed" "X3" 4 "flat"
"Thibau Nys" "Unclassed" "X4" 0 "hills"
"Thibau Nys" "Unclassed" "X6" 4 "hills"
"Thibau Nys" "Unclassed" "X7" 0 "hills"
"Thibau Nys" "Unclassed" "X8" 8 "flat"
"Thibau Nys" "Unclassed" "X9" 4 "flat"
"Thibau Nys" "Unclassed" "X10" 0 "hills"
"Thibau Nys" "Unclassed" "X11" 0 "hills"
"Thibau Nys" "Unclassed" "X12" 12 "mount"
"Thibau Nys" "Unclassed" "X14" 0 "mount"
"Thibau Nys" "Unclassed" "X15" 40 "hills"
"Thibau Nys" "Unclassed" "X16" 0 "mount"
"Thibau Nys" "Unclassed" "X17" 8 "flat"
"Thibau Nys" "Unclassed" "X18" 2 "mount"
"Thibau Nys" "Unclassed" "X19" 5 "mount"
"Thibau Nys" "Unclassed" "X20" 0 "hills"
"Thibau Nys" "Unclassed" "X21" 0 "flat"
"Arnaud De Lie" "Sprinter" "X1" 0 "flat"
"Arnaud De Lie" "Sprinter" "X2" 0 "hills"
"Arnaud De Lie" "Sprinter" "X3" 0 "flat"
"Arnaud De Lie" "Sprinter" "X4" 0 "hills"
"Arnaud De Lie" "Sprinter" "X6" 0 "hills"
"Arnaud De Lie" "Sprinter" "X7" 0 "hills"
"Arnaud De Lie" "Sprinter" "X8" 120 "flat"
"Arnaud De Lie" "Sprinter" "X9" 162 "flat"
"Arnaud De Lie" "Sprinter" "X10" 0 "hills"
"Arnaud De Lie" "Sprinter" "X11" 144 "hills"
"Arnaud De Lie" "Sprinter" "X12" 0 "mount"
"Arnaud De Lie" "Sprinter" "X14" 0 "mount"
"Arnaud De Lie" "Sprinter" "X15" 16 "hills"
"Arnaud De Lie" "Sprinter" "X16" 0 "mount"
"Arnaud De Lie" "Sprinter" "X17" 140 "flat"
"Arnaud De Lie" "Sprinter" "X18" 0 "mount"
"Arnaud De Lie" "Sprinter" "X19" 0 "mount"
"Arnaud De Lie" "Sprinter" "X20" 0 "hills"
"Arnaud De Lie" "Sprinter" "X21" 95 "flat"
"Jordi Meeus" "Sprinter" "X1" 5 "flat"
"Jordi Meeus" "Sprinter" "X2" 0 "hills"
"Jordi Meeus" "Sprinter" "X3" 0 "flat"
"Jordi Meeus" "Sprinter" "X4" 0 "hills"
"Jordi Meeus" "Sprinter" "X6" 0 "hills"
"Jordi Meeus" "Sprinter" "X7" 0 "hills"
"Jordi Meeus" "Sprinter" "X8" 0 "flat"
"Jordi Meeus" "Sprinter" "X9" 80 "flat"
"Jordi Meeus" "Sprinter" "X10" 0 "hills"
"Jordi Meeus" "Sprinter" "X11" 0 "hills"
"Jordi Meeus" "Sprinter" "X12" 2 "mount"
"Jordi Meeus" "Sprinter" "X14" 2 "mount"
"Jordi Meeus" "Sprinter" "X15" 4 "hills"
"Jordi Meeus" "Sprinter" "X16" 4 "mount"
"Jordi Meeus" "Sprinter" "X17" 184 "flat"
"Jordi Meeus" "Sprinter" "X18" 4 "mount"
"Jordi Meeus" "Sprinter" "X19" 4 "mount"
"Jordi Meeus" "Sprinter" "X20" 4 "hills"
"Jordi Meeus" "Sprinter" "X21" 4 "flat"
"Aleksandr Vlasov" "All Rounder" "X1" 0 "flat"
"Aleksandr Vlasov" "All Rounder" "X2" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X3" 0 "flat"
"Aleksandr Vlasov" "All Rounder" "X4" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X6" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X7" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X8" 0 "flat"
"Aleksandr Vlasov" "All Rounder" "X9" 0 "flat"
"Aleksandr Vlasov" "All Rounder" "X10" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X11" 0 "hills"
"Aleksandr Vlasov" "All Rounder" "X12" 2 "mount"
"Aleksandr Vlasov" "All Rounder" "X14" 22 "mount"
"Aleksandr Vlasov" "All Rounder" "X15" 114 "hills"
"Aleksandr Vlasov" "All Rounder" "X16" 4 "mount"
"Aleksandr Vlasov" "All Rounder" "X17" 8 "flat"
"Aleksandr Vlasov" "All Rounder" "X18" 4 "mount"
"Aleksandr Vlasov" "All Rounder" "X19" 4 "mount"
"Aleksandr Vlasov" "All Rounder" "X20" 4 "hills"
"Aleksandr Vlasov" "All Rounder" "X21" 4 "flat"
"Dylan Groenewegen" "Sprinter" "X1" 0 "flat"
"Dylan Groenewegen" "Sprinter" "X2" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X3" 35 "flat"
"Dylan Groenewegen" "Sprinter" "X4" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X6" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X7" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X8" 20 "flat"
"Dylan Groenewegen" "Sprinter" "X9" 25 "flat"
"Dylan Groenewegen" "Sprinter" "X10" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X11" 4 "hills"
"Dylan Groenewegen" "Sprinter" "X12" 0 "mount"
"Dylan Groenewegen" "Sprinter" "X14" 0 "mount"
"Dylan Groenewegen" "Sprinter" "X15" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X16" 0 "mount"
"Dylan Groenewegen" "Sprinter" "X17" 30 "flat"
"Dylan Groenewegen" "Sprinter" "X18" 8 "mount"
"Dylan Groenewegen" "Sprinter" "X19" 0 "mount"
"Dylan Groenewegen" "Sprinter" "X20" 0 "hills"
"Dylan Groenewegen" "Sprinter" "X21" 0 "flat"
"Ben O'Connor" "Climber" "X1" 0 "flat"
"Ben O'Connor" "Climber" "X2" 11 "hills"
"Ben O'Connor" "Climber" "X3" 12 "flat"
"Ben O'Connor" "Climber" "X4" 0 "hills"
"Ben O'Connor" "Climber" "X6" 0 "hills"
"Ben O'Connor" "Climber" "X7" 3 "hills"
"Ben O'Connor" "Climber" "X8" 1 "flat"
"Ben O'Connor" "Climber" "X9" 0 "flat"
"Ben O'Connor" "Climber" "X10" 163 "hills"
"Ben O'Connor" "Climber" "X11" 8 "hills"
"Ben O'Connor" "Climber" "X12" 24 "mount"
"Ben O'Connor" "Climber" "X14" 29 "mount"
"Ben O'Connor" "Climber" "X15" 9 "hills"
"Ben O'Connor" "Climber" "X16" 9 "mount"
"Ben O'Connor" "Climber" "X17" 9 "flat"
"Ben O'Connor" "Climber" "X18" 269 "mount"
"Ben O'Connor" "Climber" "X19" 53 "mount"
"Ben O'Connor" "Climber" "X20" 12 "hills"
"Ben O'Connor" "Climber" "X21" 12 "flat"
"Oscar Onley" "Climber" "X1" 0 "flat"
"Oscar Onley" "Climber" "X2" 115 "hills"
"Oscar Onley" "Climber" "X3" 8 "flat"
"Oscar Onley" "Climber" "X4" 154 "hills"
"Oscar Onley" "Climber" "X6" 45 "hills"
"Oscar Onley" "Climber" "X7" 174 "hills"
"Oscar Onley" "Climber" "X8" 14 "flat"
"Oscar Onley" "Climber" "X9" 14 "flat"
"Oscar Onley" "Climber" "X10" 44 "hills"
"Oscar Onley" "Climber" "X11" 14 "hills"
"Oscar Onley" "Climber" "X12" 145 "mount"
"Oscar Onley" "Climber" "X14" 134 "mount"
"Oscar Onley" "Climber" "X15" 18 "hills"
"Oscar Onley" "Climber" "X16" 48 "mount"
"Oscar Onley" "Climber" "X17" 20 "flat"
"Oscar Onley" "Climber" "X18" 173 "mount"
"Oscar Onley" "Climber" "X19" 148 "mount"
"Oscar Onley" "Climber" "X20" 22 "hills"
"Oscar Onley" "Climber" "X21" 18 "flat"
"Sepp Kuss" "Climber" "X1" 0 "flat"
"Sepp Kuss" "Climber" "X2" 8 "hills"
"Sepp Kuss" "Climber" "X3" 6 "flat"
"Sepp Kuss" "Climber" "X4" 12 "hills"
"Sepp Kuss" "Climber" "X6" 8 "hills"
"Sepp Kuss" "Climber" "X7" 12 "hills"
"Sepp Kuss" "Climber" "X8" 12 "flat"
"Sepp Kuss" "Climber" "X9" 8 "flat"
"Sepp Kuss" "Climber" "X10" 16 "hills"
"Sepp Kuss" "Climber" "X11" 8 "hills"
"Sepp Kuss" "Climber" "X12" 16 "mount"
"Sepp Kuss" "Climber" "X14" 25 "mount"
"Sepp Kuss" "Climber" "X15" 20 "hills"
"Sepp Kuss" "Climber" "X16" 18 "mount"
"Sepp Kuss" "Climber" "X17" 18 "flat"
"Sepp Kuss" "Climber" "X18" 83 "mount"
"Sepp Kuss" "Climber" "X19" 23 "mount"
"Sepp Kuss" "Climber" "X20" 16 "hills"
"Sepp Kuss" "Climber" "X21" 24 "flat"
"Xandro Meurisse" "Unclassed" "X1" 18 "flat"
"Xandro Meurisse" "Unclassed" "X2" 18 "hills"
"Xandro Meurisse" "Unclassed" "X3" 10 "flat"
"Xandro Meurisse" "Unclassed" "X4" 12 "hills"
"Xandro Meurisse" "Unclassed" "X6" 8 "hills"
"Xandro Meurisse" "Unclassed" "X7" 12 "hills"
"Xandro Meurisse" "Unclassed" "X8" 2 "flat"
"Xandro Meurisse" "Unclassed" "X9" 0 "flat"
"Xandro Meurisse" "Unclassed" "X10" 0 "hills"
"Xandro Meurisse" "Unclassed" "X11" 2 "hills"
"Xandro Meurisse" "Unclassed" "X12" 0 "mount"
"Xandro Meurisse" "Unclassed" "X14" 0 "mount"
"Xandro Meurisse" "Unclassed" "X15" 0 "hills"
"Xandro Meurisse" "Unclassed" "X16" 35 "mount"
"Xandro Meurisse" "Unclassed" "X17" 0 "flat"
"Xandro Meurisse" "Unclassed" "X18" 0 "mount"
"Xandro Meurisse" "Unclassed" "X19" 0 "mount"
"Xandro Meurisse" "Unclassed" "X20" 20 "hills"
"Xandro Meurisse" "Unclassed" "X21" 0 "flat"
"Gianni Vermeersch" "Unclassed" "X1" 18 "flat"
"Gianni Vermeersch" "Unclassed" "X2" 18 "hills"
"Gianni Vermeersch" "Unclassed" "X3" 10 "flat"
"Gianni Vermeersch" "Unclassed" "X4" 12 "hills"
"Gianni Vermeersch" "Unclassed" "X6" 8 "hills"
"Gianni Vermeersch" "Unclassed" "X7" 0 "hills"
"Gianni Vermeersch" "Unclassed" "X8" 2 "flat"
"Gianni Vermeersch" "Unclassed" "X9" 0 "flat"
"Gianni Vermeersch" "Unclassed" "X10" 0 "hills"
"Gianni Vermeersch" "Unclassed" "X11" 2 "hills"
"Gianni Vermeersch" "Unclassed" "X12" 0 "mount"
"Gianni Vermeersch" "Unclassed" "X14" 0 "mount"
"Gianni Vermeersch" "Unclassed" "X15" 0 "hills"
"Gianni Vermeersch" "Unclassed" "X16" 0 "mount"
"Gianni Vermeersch" "Unclassed" "X17" 0 "flat"
"Gianni Vermeersch" "Unclassed" "X18" 0 "mount"
"Gianni Vermeersch" "Unclassed" "X19" 0 "mount"
"Gianni Vermeersch" "Unclassed" "X20" 8 "hills"
"Gianni Vermeersch" "Unclassed" "X21" 0 "flat"
"Emiel Verstrynge" "Unclassed" "X1" 18 "flat"
"Emiel Verstrynge" "Unclassed" "X2" 18 "hills"
"Emiel Verstrynge" "Unclassed" "X3" 10 "flat"
"Emiel Verstrynge" "Unclassed" "X4" 12 "hills"
"Emiel Verstrynge" "Unclassed" "X6" 8 "hills"
"Emiel Verstrynge" "Unclassed" "X7" 0 "hills"
"Emiel Verstrynge" "Unclassed" "X8" 2 "flat"
"Emiel Verstrynge" "Unclassed" "X9" 0 "flat"
"Emiel Verstrynge" "Unclassed" "X10" 0 "hills"
"Emiel Verstrynge" "Unclassed" "X11" 2 "hills"
"Emiel Verstrynge" "Unclassed" "X12" 0 "mount"
"Emiel Verstrynge" "Unclassed" "X14" 0 "mount"
"Emiel Verstrynge" "Unclassed" "X15" 0 "hills"
"Emiel Verstrynge" "Unclassed" "X16" 0 "mount"
"Emiel Verstrynge" "Unclassed" "X17" 0 "flat"
"Emiel Verstrynge" "Unclassed" "X18" 0 "mount"
"Emiel Verstrynge" "Unclassed" "X19" 0 "mount"
"Emiel Verstrynge" "Unclassed" "X20" 8 "hills"
"Emiel Verstrynge" "Unclassed" "X21" 0 "flat"
"Amaury Capiot" "Unclassed" "X1" 0 "flat"
"Amaury Capiot" "Unclassed" "X2" 0 "hills"
"Amaury Capiot" "Unclassed" "X3" 70 "flat"
"Amaury Capiot" "Unclassed" "X4" 0 "hills"
"Amaury Capiot" "Unclassed" "X6" 0 "hills"
"Amaury Capiot" "Unclassed" "X7" 2 "hills"
"Amaury Capiot" "Unclassed" "X8" 2 "flat"
"Amaury Capiot" "Unclassed" "X9" 2 "flat"
"Amaury Capiot" "Unclassed" "X10" 0 "hills"
"Amaury Capiot" "Unclassed" "X11" 0 "hills"
"Amaury Capiot" "Unclassed" "X12" 2 "mount"
"Amaury Capiot" "Unclassed" "X14" 0 "mount"
"Amaury Capiot" "Unclassed" "X15" 0 "hills"
"Amaury Capiot" "Unclassed" "X16" 0 "mount"
"Amaury Capiot" "Unclassed" "X17" 0 "flat"
"Amaury Capiot" "Unclassed" "X18" 0 "mount"
"Amaury Capiot" "Unclassed" "X19" 0 "mount"
"Amaury Capiot" "Unclassed" "X20" 0 "hills"
"Amaury Capiot" "Unclassed" "X21" 0 "flat"
"Ewen Costiou" "Unclassed" "X1" 0 "flat"
"Ewen Costiou" "Unclassed" "X2" 0 "hills"
"Ewen Costiou" "Unclassed" "X3" 0 "flat"
"Ewen Costiou" "Unclassed" "X4" 0 "hills"
"Ewen Costiou" "Unclassed" "X6" 0 "hills"
"Ewen Costiou" "Unclassed" "X7" 30 "hills"
"Ewen Costiou" "Unclassed" "X8" 4 "flat"
"Ewen Costiou" "Unclassed" "X9" 4 "flat"
"Ewen Costiou" "Unclassed" "X10" 0 "hills"
"Ewen Costiou" "Unclassed" "X11" 0 "hills"
"Ewen Costiou" "Unclassed" "X12" 2 "mount"
"Ewen Costiou" "Unclassed" "X14" 5 "mount"
"Ewen Costiou" "Unclassed" "X15" 0 "hills"
"Ewen Costiou" "Unclassed" "X16" 0 "mount"
"Ewen Costiou" "Unclassed" "X17" 0 "flat"
"Ewen Costiou" "Unclassed" "X18" 0 "mount"
"Ewen Costiou" "Unclassed" "X19" 0 "mount"
"Ewen Costiou" "Unclassed" "X20" 60 "hills"
"Ewen Costiou" "Unclassed" "X21" 0 "flat"
"Arnaud Démare" "Sprinter" "X1" 0 "flat"
"Arnaud Démare" "Sprinter" "X2" 0 "hills"
"Arnaud Démare" "Sprinter" "X3" 0 "flat"
"Arnaud Démare" "Sprinter" "X4" 0 "hills"
"Arnaud Démare" "Sprinter" "X6" 0 "hills"
"Arnaud Démare" "Sprinter" "X7" 2 "hills"
"Arnaud Démare" "Sprinter" "X8" 6 "flat"
"Arnaud Démare" "Sprinter" "X9" 37 "flat"
"Arnaud Démare" "Sprinter" "X10" 0 "hills"
"Arnaud Démare" "Sprinter" "X11" 0 "hills"
"Arnaud Démare" "Sprinter" "X12" 2 "mount"
"Arnaud Démare" "Sprinter" "X14" 0 "mount"
"Arnaud Démare" "Sprinter" "X15" 0 "hills"
"Arnaud Démare" "Sprinter" "X16" 0 "mount"
"Arnaud Démare" "Sprinter" "X17" 0 "flat"
"Arnaud Démare" "Sprinter" "X18" 0 "mount"
"Arnaud Démare" "Sprinter" "X19" 0 "mount"
"Arnaud Démare" "Sprinter" "X20" 0 "hills"
"Arnaud Démare" "Sprinter" "X21" 0 "flat"
"Raúl García Pierna" "Unclassed" "X1" 0 "flat"
"Raúl García Pierna" "Unclassed" "X2" 0 "hills"
"Raúl García Pierna" "Unclassed" "X3" 0 "flat"
"Raúl García Pierna" "Unclassed" "X4" 0 "hills"
"Raúl García Pierna" "Unclassed" "X6" 0 "hills"
"Raúl García Pierna" "Unclassed" "X7" 2 "hills"
"Raúl García Pierna" "Unclassed" "X8" 2 "flat"
"Raúl García Pierna" "Unclassed" "X9" 2 "flat"
"Raúl García Pierna" "Unclassed" "X10" 20 "hills"
"Raúl García Pierna" "Unclassed" "X11" 0 "hills"
"Raúl García Pierna" "Unclassed" "X12" 42 "mount"
"Raúl García Pierna" "Unclassed" "X14" 0 "mount"
"Raúl García Pierna" "Unclassed" "X15" 0 "hills"
"Raúl García Pierna" "Unclassed" "X16" 8 "mount"
"Raúl García Pierna" "Unclassed" "X17" 0 "flat"
"Raúl García Pierna" "Unclassed" "X18" 0 "mount"
"Raúl García Pierna" "Unclassed" "X19" 0 "mount"
"Raúl García Pierna" "Unclassed" "X20" 0 "hills"
"Raúl García Pierna" "Unclassed" "X21" 0 "flat"
"Cristián Rodríguez" "Unclassed" "X1" 0 "flat"
"Cristián Rodríguez" "Unclassed" "X2" 0 "hills"
"Cristián Rodríguez" "Unclassed" "X3" 0 "flat"
"Cristián Rodríguez" "Unclassed" "X4" 0 "hills"
"Cristián Rodríguez" "Unclassed" "X6" 0 "hills"
"Cristián Rodríguez" "Unclassed" "X7" 18 "hills"
"Cristián Rodríguez" "Unclassed" "X8" 2 "flat"
"Cristián Rodríguez" "Unclassed" "X9" 2 "flat"
"Cristián Rodríguez" "Unclassed" "X10" 0 "hills"
"Cristián Rodríguez" "Unclassed" "X11" 0 "hills"
"Cristián Rodríguez" "Unclassed" "X12" 64 "mount"
"Cristián Rodríguez" "Unclassed" "X14" 3 "mount"
"Cristián Rodríguez" "Unclassed" "X15" 3 "hills"
"Cristián Rodríguez" "Unclassed" "X16" 4 "mount"
"Cristián Rodríguez" "Unclassed" "X17" 4 "flat"
"Cristián Rodríguez" "Unclassed" "X18" 0 "mount"
"Cristián Rodríguez" "Unclassed" "X19" 0 "mount"
"Cristián Rodríguez" "Unclassed" "X20" 1 "hills"
"Cristián Rodríguez" "Unclassed" "X21" 1 "flat"
"Kévin Vauquelin" "All Rounder" "X1" 25 "flat"
"Kévin Vauquelin" "All Rounder" "X2" 100 "hills"
"Kévin Vauquelin" "All Rounder" "X3" 20 "flat"
"Kévin Vauquelin" "All Rounder" "X4" 77 "hills"
"Kévin Vauquelin" "All Rounder" "X6" 48 "hills"
"Kévin Vauquelin" "All Rounder" "X7" 117 "hills"
"Kévin Vauquelin" "All Rounder" "X8" 22 "flat"
"Kévin Vauquelin" "All Rounder" "X9" 22 "flat"
"Kévin Vauquelin" "All Rounder" "X10" 15 "hills"
"Kévin Vauquelin" "All Rounder" "X11" 15 "hills"
"Kévin Vauquelin" "All Rounder" "X12" 134 "mount"
"Kévin Vauquelin" "All Rounder" "X14" 76 "mount"
"Kévin Vauquelin" "All Rounder" "X15" 16 "hills"
"Kévin Vauquelin" "All Rounder" "X16" 19 "mount"
"Kévin Vauquelin" "All Rounder" "X17" 15 "flat"
"Kévin Vauquelin" "All Rounder" "X18" 54 "mount"
"Kévin Vauquelin" "All Rounder" "X19" 30 "mount"
"Kévin Vauquelin" "All Rounder" "X20" 14 "hills"
"Kévin Vauquelin" "All Rounder" "X21" 94 "flat"
"Clément Venturini" "Unclassed" "X1" 0 "flat"
"Clément Venturini" "Unclassed" "X2" 0 "hills"
"Clément Venturini" "Unclassed" "X3" 0 "flat"
"Clément Venturini" "Unclassed" "X4" 0 "hills"
"Clément Venturini" "Unclassed" "X6" 0 "hills"
"Clément Venturini" "Unclassed" "X7" 2 "hills"
"Clément Venturini" "Unclassed" "X8" 2 "flat"
"Clément Venturini" "Unclassed" "X9" 2 "flat"
"Clément Venturini" "Unclassed" "X10" 0 "hills"
"Clément Venturini" "Unclassed" "X11" 0 "hills"
"Clément Venturini" "Unclassed" "X12" 2 "mount"
"Clément Venturini" "Unclassed" "X14" 0 "mount"
"Clément Venturini" "Unclassed" "X15" 0 "hills"
"Clément Venturini" "Unclassed" "X16" 0 "mount"
"Clément Venturini" "Unclassed" "X17" 12 "flat"
"Clément Venturini" "Unclassed" "X18" 0 "mount"
"Clément Venturini" "Unclassed" "X19" 0 "mount"
"Clément Venturini" "Unclassed" "X20" 0 "hills"
"Clément Venturini" "Unclassed" "X21" 0 "flat"
"Phil Bauhaus" "Sprinter" "X1" 0 "flat"
"Phil Bauhaus" "Sprinter" "X2" 0 "hills"
"Phil Bauhaus" "Sprinter" "X3" 160 "flat"
"Phil Bauhaus" "Sprinter" "X4" 0 "hills"
"Phil Bauhaus" "Sprinter" "X6" 0 "hills"
"Phil Bauhaus" "Sprinter" "X7" 0 "hills"
"Phil Bauhaus" "Sprinter" "X8" 40 "flat"
"Phil Bauhaus" "Sprinter" "X9" 95 "flat"
"Phil Bauhaus" "Sprinter" "X10" 0 "hills"
"Phil Bauhaus" "Sprinter" "X11" 0 "hills"
"Phil Bauhaus" "Sprinter" "X12" 0 "mount"
"Phil Bauhaus" "Sprinter" "X14" 0 "mount"
"Phil Bauhaus" "Sprinter" "X15" 0 "hills"
"Phil Bauhaus" "Sprinter" "X16" 2 "mount"
"Phil Bauhaus" "Sprinter" "X17" 40 "flat"
"Phil Bauhaus" "Sprinter" "X18" 0 "mount"
"Phil Bauhaus" "Sprinter" "X19" 0 "mount"
"Phil Bauhaus" "Sprinter" "X20" 0 "hills"
"Phil Bauhaus" "Sprinter" "X21" 2 "flat"
"Jack Haig" "Unclassed" "X1" 0 "flat"
"Jack Haig" "Unclassed" "X2" 0 "hills"
"Jack Haig" "Unclassed" "X3" 2 "flat"
"Jack Haig" "Unclassed" "X4" 0 "hills"
"Jack Haig" "Unclassed" "X6" 1 "hills"
"Jack Haig" "Unclassed" "X7" 0 "hills"
"Jack Haig" "Unclassed" "X8" 0 "flat"
"Jack Haig" "Unclassed" "X9" 0 "flat"
"Jack Haig" "Unclassed" "X10" 0 "hills"
"Jack Haig" "Unclassed" "X11" 0 "hills"
"Jack Haig" "Unclassed" "X12" 0 "mount"
"Jack Haig" "Unclassed" "X14" 0 "mount"
"Jack Haig" "Unclassed" "X15" 0 "hills"
"Jack Haig" "Unclassed" "X16" 0 "mount"
"Jack Haig" "Unclassed" "X17" 0 "flat"
"Jack Haig" "Unclassed" "X18" 0 "mount"
"Jack Haig" "Unclassed" "X19" 0 "mount"
"Jack Haig" "Unclassed" "X20" 0 "hills"
"Jack Haig" "Unclassed" "X21" 0 "flat"
"Matej Mohorič" "Unclassed" "X1" 0 "flat"
"Matej Mohorič" "Unclassed" "X2" 0 "hills"
"Matej Mohorič" "Unclassed" "X3" 2 "flat"
"Matej Mohorič" "Unclassed" "X4" 0 "hills"
"Matej Mohorič" "Unclassed" "X6" 0 "hills"
"Matej Mohorič" "Unclassed" "X7" 0 "hills"
"Matej Mohorič" "Unclassed" "X8" 0 "flat"
"Matej Mohorič" "Unclassed" "X9" 0 "flat"
"Matej Mohorič" "Unclassed" "X10" 0 "hills"
"Matej Mohorič" "Unclassed" "X11" 0 "hills"
"Matej Mohorič" "Unclassed" "X12" 0 "mount"
"Matej Mohorič" "Unclassed" "X14" 0 "mount"
"Matej Mohorič" "Unclassed" "X15" 26 "hills"
"Matej Mohorič" "Unclassed" "X16" 2 "mount"
"Matej Mohorič" "Unclassed" "X17" 0 "flat"
"Matej Mohorič" "Unclassed" "X18" 0 "mount"
"Matej Mohorič" "Unclassed" "X19" 0 "mount"
"Matej Mohorič" "Unclassed" "X20" 0 "hills"
"Matej Mohorič" "Unclassed" "X21" 160 "flat"
"Fred Wright" "Unclassed" "X1" 0 "flat"
"Fred Wright" "Unclassed" "X2" 0 "hills"
"Fred Wright" "Unclassed" "X3" 2 "flat"
"Fred Wright" "Unclassed" "X4" 0 "hills"
"Fred Wright" "Unclassed" "X6" 0 "hills"
"Fred Wright" "Unclassed" "X7" 0 "hills"
"Fred Wright" "Unclassed" "X8" 0 "flat"
"Fred Wright" "Unclassed" "X9" 0 "flat"
"Fred Wright" "Unclassed" "X10" 0 "hills"
"Fred Wright" "Unclassed" "X11" 123 "hills"
"Fred Wright" "Unclassed" "X12" 0 "mount"
"Fred Wright" "Unclassed" "X14" 0 "mount"
"Fred Wright" "Unclassed" "X15" 0 "hills"
"Fred Wright" "Unclassed" "X16" 6 "mount"
"Fred Wright" "Unclassed" "X17" 0 "flat"
"Fred Wright" "Unclassed" "X18" 0 "mount"
"Fred Wright" "Unclassed" "X19" 0 "mount"
"Fred Wright" "Unclassed" "X20" 0 "hills"
"Fred Wright" "Unclassed" "X21" 2 "flat"
"Alex Aranburu" "Sprinter" "X1" 0 "flat"
"Alex Aranburu" "Sprinter" "X2" 0 "hills"
"Alex Aranburu" "Sprinter" "X3" 0 "flat"
"Alex Aranburu" "Sprinter" "X4" 0 "hills"
"Alex Aranburu" "Sprinter" "X6" 0 "hills"
"Alex Aranburu" "Sprinter" "X7" 0 "hills"
"Alex Aranburu" "Sprinter" "X8" 0 "flat"
"Alex Aranburu" "Sprinter" "X9" 0 "flat"
"Alex Aranburu" "Sprinter" "X10" 0 "hills"
"Alex Aranburu" "Sprinter" "X11" 8 "hills"
"Alex Aranburu" "Sprinter" "X12" 0 "mount"
"Alex Aranburu" "Sprinter" "X14" 0 "mount"
"Alex Aranburu" "Sprinter" "X15" 0 "hills"
"Alex Aranburu" "Sprinter" "X16" 20 "mount"
"Alex Aranburu" "Sprinter" "X17" 0 "flat"
"Alex Aranburu" "Sprinter" "X18" 0 "mount"
"Alex Aranburu" "Sprinter" "X19" 0 "mount"
"Alex Aranburu" "Sprinter" "X20" 0 "hills"
"Alex Aranburu" "Sprinter" "X21" 30 "flat"
"Emanuel Buchmann" "Unclassed" "X1" 0 "flat"
"Emanuel Buchmann" "Unclassed" "X2" 11 "hills"
"Emanuel Buchmann" "Unclassed" "X3" 11 "flat"
"Emanuel Buchmann" "Unclassed" "X4" 0 "hills"
"Emanuel Buchmann" "Unclassed" "X6" 0 "hills"
"Emanuel Buchmann" "Unclassed" "X7" 0 "hills"
"Emanuel Buchmann" "Unclassed" "X8" 0 "flat"
"Emanuel Buchmann" "Unclassed" "X9" 1 "flat"
"Emanuel Buchmann" "Unclassed" "X10" 1 "hills"
"Emanuel Buchmann" "Unclassed" "X11" 1 "hills"
"Emanuel Buchmann" "Unclassed" "X12" 1 "mount"
