"all_riders" "rider_class" "stage" "points" "stage_class"
"Jasper Philipsen" "Sprinter" "X16" 0 "mount"
"Jasper Philipsen" "Sprinter" "X17" 0 "flat"
"Jasper Philipsen" "Sprinter" "X18" 0 "mount"
"Jasper Philipsen" "Sprinter" "X19" 0 "mount"
"Jasper Philipsen" "Sprinter" "X20" 0 "hills"
"Jasper Philipsen" "Sprinter" "X21" 0 "flat"
"Jonathan Milan" "Sprinter" "X1" 22 "flat"
"Jonathan Milan" "Sprinter" "X2" 8 "hills"
"Jonathan Milan" "Sprinter" "X3" 212 "flat"
"Jonathan Milan" "Sprinter" "X4" 18 "hills"
"Jonathan Milan" "Sprinter" "X6" 36 "hills"
"Jonathan Milan" "Sprinter" "X7" 13 "hills"
"Jonathan Milan" "Sprinter" "X8" 252 "flat"
"Jonathan Milan" "Sprinter" "X9" 204 "flat"
"Jonathan Milan" "Sprinter" "X10" 12 "hills"
"Jonathan Milan" "Sprinter" "X11" 12 "hills"
"Jonathan Milan" "Sprinter" "X12" 12 "mount"
"Jonathan Milan" "Sprinter" "X14" 32 "mount"
"Jonathan Milan" "Sprinter" "X15" 12 "hills"
"Jonathan Milan" "Sprinter" "X16" 12 "mount"
"Jonathan Milan" "Sprinter" "X17" 238 "flat"
"Jonathan Milan" "Sprinter" "X18" 32 "mount"
"Jonathan Milan" "Sprinter" "X19" 32 "mount"
"Jonathan Milan" "Sprinter" "X20" 12 "hills"
"Jonathan Milan" "Sprinter" "X21" 32 "flat"
"Mattias Skjelmose" "Climber" "X1" 0 "flat"
"Mattias Skjelmose" "Climber" "X2" 6 "hills"
"Mattias Skjelmose" "Climber" "X3" 7 "flat"
"Mattias Skjelmose" "Climber" "X4" 81 "hills"
"Mattias Skjelmose" "Climber" "X6" 13 "hills"
"Mattias Skjelmose" "Climber" "X7" 51 "hills"
"Mattias Skjelmose" "Climber" "X8" 19 "flat"
"Mattias Skjelmose" "Climber" "X9" 15 "flat"
"Mattias Skjelmose" "Climber" "X10" 6 "hills"
"Mattias Skjelmose" "Climber" "X11" 3 "hills"
"Mattias Skjelmose" "Climber" "X12" 13 "mount"
"Mattias Skjelmose" "Climber" "X14" 0 "mount"
"Mattias Skjelmose" "Climber" "X15" 0 "hills"
"Mattias Skjelmose" "Climber" "X16" 0 "mount"
"Mattias Skjelmose" "Climber" "X17" 0 "flat"
"Mattias Skjelmose" "Climber" "X18" 0 "mount"
"Mattias Skjelmose" "Climber" "X19" 0 "mount"
"Mattias Skjelmose" "Climber" "X20" 0 "hills"
"Mattias Skjelmose" "Climber" "X21" 0 "flat"
"Florian Lipowitz" "All Rounder" "X1" 0 "flat"
"Florian Lipowitz" "All Rounder" "X2" 0 "hills"
"Florian Lipowitz" "All Rounder" "X3" 0 "flat"
"Florian Lipowitz" "All Rounder" "X4" 1 "hills"
"Florian Lipowitz" "All Rounder" "X6" 37 "hills"
"Florian Lipowitz" "All Rounder" "X7" 43 "hills"
"Florian Lipowitz" "All Rounder" "X8" 13 "flat"
"Florian Lipowitz" "All Rounder" "X9" 13 "flat"
"Florian Lipowitz" "All Rounder" "X10" 63 "hills"
"Florian Lipowitz" "All Rounder" "X11" 13 "hills"
"Florian Lipowitz" "All Rounder" "X12" 198 "mount"
"Florian Lipowitz" "All Rounder" "X14" 153 "mount"
"Florian Lipowitz" "All Rounder" "X15" 25 "hills"
"Florian Lipowitz" "All Rounder" "X16" 84 "mount"
"Florian Lipowitz" "All Rounder" "X17" 28 "flat"
"Florian Lipowitz" "All Rounder" "X18" 74 "mount"
"Florian Lipowitz" "All Rounder" "X19" 179 "mount"
"Florian Lipowitz" "All Rounder" "X20" 24 "hills"
"Florian Lipowitz" "All Rounder" "X21" 24 "flat"
"Matteo Jorgenson" "All Rounder" "X1" 93 "flat"
"Matteo Jorgenson" "All Rounder" "X2" 36 "hills"
"Matteo Jorgenson" "All Rounder" "X3" 22 "flat"
"Matteo Jorgenson" "All Rounder" "X4" 110 "hills"
"Matteo Jorgenson" "All Rounder" "X6" 73 "hills"
"Matteo Jorgenson" "All Rounder" "X7" 147 "hills"
"Matteo Jorgenson" "All Rounder" "X8" 27 "flat"
"Matteo Jorgenson" "All Rounder" "X9" 24 "flat"
"Matteo Jorgenson" "All Rounder" "X10" 72 "hills"
"Matteo Jorgenson" "All Rounder" "X11" 24 "hills"
"Matteo Jorgenson" "All Rounder" "X12" 52 "mount"
"Matteo Jorgenson" "All Rounder" "X14" 14 "mount"
"Matteo Jorgenson" "All Rounder" "X15" 22 "hills"
"Matteo Jorgenson" "All Rounder" "X16" 13 "mount"
"Matteo Jorgenson" "All Rounder" "X17" 13 "flat"
"Matteo Jorgenson" "All Rounder" "X18" 78 "mount"
"Matteo Jorgenson" "All Rounder" "X19" 17 "mount"
"Matteo Jorgenson" "All Rounder" "X20" 106 "hills"
"Matteo Jorgenson" "All Rounder" "X21" 146 "flat"
"Wout Van Aert" "Unclassed" "X1" 0 "flat"
"Wout Van Aert" "Unclassed" "X2" 8 "hills"
"Wout Van Aert" "Unclassed" "X3" 6 "flat"
"Wout Van Aert" "Unclassed" "X4" 62 "hills"
"Wout Van Aert" "Unclassed" "X6" 8 "hills"
"Wout Van Aert" "Unclassed" "X7" 12 "hills"
"Wout Van Aert" "Unclassed" "X8" 188 "flat"
"Wout Van Aert" "Unclassed" "X9" 8 "flat"
"Wout Van Aert" "Unclassed" "X10" 16 "hills"
"Wout Van Aert" "Unclassed" "X11" 130 "hills"
"Wout Van Aert" "Unclassed" "X12" 16 "mount"
"Wout Van Aert" "Unclassed" "X14" 14 "mount"
"Wout Van Aert" "Unclassed" "X15" 156 "hills"
"Wout Van Aert" "Unclassed" "X16" 12 "mount"
"Wout Van Aert" "Unclassed" "X17" 12 "flat"
"Wout Van Aert" "Unclassed" "X18" 17 "mount"
"Wout Van Aert" "Unclassed" "X19" 16 "mount"
"Wout Van Aert" "Unclassed" "X20" 12 "hills"
"Wout Van Aert" "Unclassed" "X21" 232 "flat"
"Simon Yates" "Climber" "X1" 0 "flat"
"Simon Yates" "Climber" "X2" 8 "hills"
"Simon Yates" "Climber" "X3" 6 "flat"
"Simon Yates" "Climber" "X4" 12 "hills"
"Simon Yates" "Climber" "X6" 148 "hills"
"Simon Yates" "Climber" "X7" 12 "hills"
"Simon Yates" "Climber" "X8" 12 "flat"
"Simon Yates" "Climber" "X9" 8 "flat"
"Simon Yates" "Climber" "X10" 248 "hills"
"Simon Yates" "Climber" "X11" 8 "hills"
"Simon Yates" "Climber" "X12" 16 "mount"
"Simon Yates" "Climber" "X14" 30 "mount"
"Simon Yates" "Climber" "X15" 16 "hills"
"Simon Yates" "Climber" "X16" 12 "mount"
"Simon Yates" "Climber" "X17" 12 "flat"
"Simon Yates" "Climber" "X18" 37 "mount"
"Simon Yates" "Climber" "X19" 81 "mount"
"Simon Yates" "Climber" "X20" 18 "hills"
"Simon Yates" "Climber" "X21" 26 "flat"
"Mathieu Van Der Poel" "Unclassed" "X1" 18 "flat"
"Mathieu Van Der Poel" "Unclassed" "X2" 258 "hills"
"Mathieu Van Der Poel" "Unclassed" "X3" 36 "flat"
"Mathieu Van Der Poel" "Unclassed" "X4" 216 "hills"
"Mathieu Van Der Poel" "Unclassed" "X6" 154 "hills"
"Mathieu Van Der Poel" "Unclassed" "X7" 20 "hills"
"Mathieu Van Der Poel" "Unclassed" "X8" 22 "flat"
"Mathieu Van Der Poel" "Unclassed" "X9" 57 "flat"
"Mathieu Van Der Poel" "Unclassed" "X10" 2 "hills"
"Mathieu Van Der Poel" "Unclassed" "X11" 169 "hills"
"Mathieu Van Der Poel" "Unclassed" "X12" 22 "mount"
"Mathieu Van Der Poel" "Unclassed" "X14" 22 "mount"
"Mathieu Van Der Poel" "Unclassed" "X15" 26 "hills"
"Mathieu Van Der Poel" "Unclassed" "X16" 0 "mount"
"Mathieu Van Der Poel" "Unclassed" "X17" 0 "flat"
"Mathieu Van Der Poel" "Unclassed" "X18" 0 "mount"
"Mathieu Van Der Poel" "Unclassed" "X19" 0 "mount"
"Mathieu Van Der Poel" "Unclassed" "X20" 0 "hills"
"Mathieu Van Der Poel" "Unclassed" "X21" 0 "flat"
"Lenny Martinez" "Climber" "X1" 0 "flat"
"Lenny Martinez" "Climber" "X2" 0 "hills"
"Lenny Martinez" "Climber" "X3" 2 "flat"
"Lenny Martinez" "Climber" "X4" 36 "hills"
"Lenny Martinez" "Climber" "X6" 0 "hills"
"Lenny Martinez" "Climber" "X7" 0 "hills"
"Lenny Martinez" "Climber" "X8" 0 "flat"
"Lenny Martinez" "Climber" "X9" 0 "flat"
"Lenny Martinez" "Climber" "X10" 112 "hills"
"Lenny Martinez" "Climber" "X11" 12 "hills"
"Lenny Martinez" "Climber" "X12" 8 "mount"
"Lenny Martinez" "Climber" "X14" 72 "mount"
"Lenny Martinez" "Climber" "X15" 12 "hills"
"Lenny Martinez" "Climber" "X16" 10 "mount"
"Lenny Martinez" "Climber" "X17" 8 "flat"
"Lenny Martinez" "Climber" "X18" 36 "mount"
"Lenny Martinez" "Climber" "X19" 106 "mount"
"Lenny Martinez" "Climber" "X20" 6 "hills"
"Lenny Martinez" "Climber" "X21" 8 "flat"
"Felix Gall" "Climber" "X1" 0 "flat"
