rider_class,N,Mean,SD,Median,Q1,Q3
All Rounder,323,37.68730650154799,63.961639754729845,12.0,0.0,39.5
Climber,437,20.169336384439358,43.44725445838263,6.0,0.0,16.0
Sprinter,551,15.036297640653357,41.83224667530989,0.0,0.0,4.0
Unclassed,2185,6.419679633867277,23.282527305602926,0.0,0.0,2.0
