stage_class,N,Mean,SD,Median,Q1,Q3
flat,1104,11.794384057971014,33.219268310860485,0.0,0.0,8.0
hills,1472,12.52038043478261,36.130357201111586,0.0,0.0,8.0
mount,920,12.878260869565217,39.906587951540644,0.0,0.0,4.0
