Source,SS,df,F,p
C(rider_class),314893.689403476,3.0,92.81610289076373,8.703760086378263e-58
C(stage_class),635.9253051106525,2.0,0.2811620740723826,0.7549231020799383
C(rider_class):C(stage_class),346064.61823064805,6.0,51.001925877581805,2.0417492614616958e-60
Residual,3940011.771351382,3484.0,,
